MI,michigan
PA,pennsylvania
WI,wisconsin
Fort Erie,forterie
Lake Erie,lakeerie
"Detroit, Canada",Canada
Detroit,michigan
Grand Rapids,michigan
Warren,michigan
Sterling Heights,michigan
Ann Arbor,michigan
Lansing,michigan
Flint,michigan
Dearborn,michigan
Livonia,michigan
Macomb Township,michigan
Macomb,michigan
Westland,michigan
Farmington Hills,michigan
Shelby Township,michigan
Kalamazoo,michigan
Rochester Hills,michigan
Philadelphia,pennsylvania
Clarion,pennsylvania
Lancaster,pennsylvania
erie,pennsylvania
harrisburg,pennsylvania
pittsburgh,pennsylvania
belfast,pennsylvania
allentown,pennsylvania
reading,pennsylvania
upper darby,pennsylvania
scranton,pennsylvania
bethlehem,pennsylvania
bensalem,pennsylvania
lower merion,pennsylvania
millcreek,pennsylvania
haverford,pennsylvania
altoona,pennsylvania
milwaukee,wisconsin
madison,wisconsin
green bay,wisconsin
kenosha,wisconsin
racine,wisconsin
appleton,wisconsin
waukesha,wisconsin
oshkosh,wisconsin
eau claire,wisconsin
janesville,wisconsin
west allis,wisconsin
la crosse,wisconsin
sheboygan,wisconsin
wauwatosa,wisconsin
fond du lac,wisconsin
new berlin,wisconsin
wausau,wisconsin
wisconsin,battleground state
michigan,battleground state
pennsylvania,battleground state
